DATE,CPALTT01USM657N,,https://fred.stlouisfed.org/series/CPALTT01USM657N
4/1/77,0.840336134,,
5/1/77,0.5,,
6/1/77,0.663349917,,
7/1/77,0.494233937,,
8/1/77,0.327868852,,
9/1/77,0.326797386,,
10/1/77,0.325732899,,
11/1/77,0.487012987,,
12/1/77,0.323101777,,
1/1/78,0.644122383,,
2/1/78,0.64,,
3/1/78,0.79491256,,
4/1/78,0.788643533,,
5/1/78,0.938967136,,
6/1/78,1.085271318,,
7/1/78,0.766871166,,
8/1/78,0.456621005,,
9/1/78,0.757575758,,
10/1/78,0.902255639,,
11/1/78,0.44709389,,
12/1/78,0.445103858,,
1/1/79,0.886262925,,
2/1/79,1.171303075,,
3/1/79,1.013024602,,
4/1/79,1.146131805,,
5/1/79,1.274787535,,
6/1/79,1.118881119,,
7/1/79,1.106500692,,
8/1/79,0.957592339,,
9/1/79,1.08401084,,
10/1/79,0.804289544,,
11/1/79,0.930851064,,
12/1/79,1.054018445,,
1/1/80,1.434159061,,
2/1/80,1.413881748,,
3/1/80,1.520912548,,
4/1/80,1.123595506,,
5/1/80,0.987654321,,
6/1/80,1.100244499,,
7/1/80,0,,
8/1/80,0.725513906,,
9/1/80,0.840336134,,
10/1/80,0.952380952,,
11/1/80,0.825471698,,
12/1/80,0.935672515,,
1/1/81,0.811123986,,
2/1/81,1.034482759,,
3/1/81,0.682593857,,
4/1/81,0.677966102,,
5/1/81,0.785634119,,
6/1/81,0.890868597,,
7/1/81,1.103752759,,
8/1/81,0.76419214,,
9/1/81,0.975081257,,
10/1/81,0.214592275,,
11/1/81,0.321199143,,
12/1/81,0.320170758,,
1/1/82,0.319148936,,
2/1/82,0.318133616,,
3/1/82,-0.105708245,,
4/1/82,0.423280423,,
5/1/82,0.948366702,,
6/1/82,1.252609603,,
7/1/82,0.515463918,,
8/1/82,0.205128205,,
9/1/82,0.204708291,,
10/1/82,0.306435138,,
11/1/82,-0.203665988,,
12/1/82,-0.408163265,,
1/1/83,0.204918033,,
2/1/83,0.102249489,,
3/1/83,0,,
4/1/83,0.715015322,,
5/1/83,0.60851927,,
6/1/83,0.302419355,,
7/1/83,0.40201005,,
8/1/83,0.3003003,,
9/1/83,0.499001996,,
10/1/83,0.297914598,,
11/1/83,0.198019802,,
12/1/83,0.098814229,,
1/1/84,0.592300099,,
2/1/84,0.490677134,,
3/1/84,0.1953125,,
4/1/84,0.487329435,,
5/1/84,0.290979631,,
6/1/84,0.290135397,,
7/1/84,0.385728062,,
8/1/84,0.384245917,,
9/1/84,0.4784689,,
10/1/84,0.285714286,,
11/1/84,0,,
12/1/84,0,,
1/1/85,0.189933523,,
2/1/85,0.473933649,,
3/1/85,0.377358491,,
4/1/85,0.469924812,,
5/1/85,0.374181478,,
6/1/85,0.279589935,,
7/1/85,0.185873606,,
8/1/85,0.185528757,,
9/1/85,0.277777778,,
10/1/85,0.369344414,,
11/1/85,0.27598896,,
12/1/85,0.275229358,,
1/1/86,0.274473925,,
2/1/86,-0.273722628,,
3/1/86,-0.457456542,,
4/1/86,-0.183823529,,
5/1/86,0.276243094,,
6/1/86,0.550964187,,
7/1/86,0,,
8/1/86,0.182648402,,
9/1/86,0.455788514,,
10/1/86,0.090744102,,
11/1/86,0.090661831,,
12/1/86,0.09057971,,
1/1/87,0.633484163,,
2/1/87,0.35971223,,
3/1/87,0.448028674,,
4/1/87,0.535236396,,
5/1/87,0.354924579,,
6/1/87,0.353669319,,
7/1/87,0.264317181,,
8/1/87,0.527240773,,
9/1/87,0.524475524,,
10/1/87,0.260869565,,
11/1/87,0.086730269,,
12/1/87,0,,
1/1/88,0.259965338,,
2/1/88,0.259291271,,
3/1/88,0.431034483,,
4/1/88,0.515021459,,
5/1/88,0.341588386,,
6/1/88,0.425531915,,
7/1/88,0.423728814,,
8/1/88,0.421940928,,
9/1/88,0.672268908,,
10/1/88,0.333889816,,
11/1/88,0.083194676,,
12/1/88,0.166251039,,
1/1/89,0.497925311,,
2/1/89,0.412881916,,
3/1/89,0.575657895,,
4/1/89,0.654129191,,
5/1/89,0.568643379,,
6/1/89,0.242326333,,
7/1/89,0.241740532,,
8/1/89,0.160771704,,
9/1/89,0.321027287,,
10/1/89,0.48,,
11/1/89,0.238853503,,
12/1/89,0.158856235,,
1/1/90,1.030927835,,
2/1/90,0.470957614,,
3/1/90,0.546875,,
4/1/90,0.155400155,,
5/1/90,0.232738557,,
6/1/90,0.541795666,,
7/1/90,0.38491147,,
8/1/90,0.920245399,,
9/1/90,0.835866261,,
10/1/90,0.602863602,,
11/1/90,0.224719101,,
12/1/90,0,,
1/1/91,0.597907324,,
2/1/91,0.14858841,,
3/1/91,0.148367953,,
4/1/91,0.148148148,,
5/1/91,0.295857988,,
6/1/91,0.294985251,,
7/1/91,0.147058824,,
8/1/91,0.293685756,,
9/1/91,0.439238653,,
10/1/91,0.145772595,,
11/1/91,0.291120815,,
12/1/91,0.07256894,,
1/1/92,0.145032632,,
2/1/92,0.362056481,,
3/1/92,0.505050505,,
4/1/92,0.143575018,,
5/1/92,0.143369176,,
6/1/92,0.357909807,,
7/1/92,0.213980029,,
8/1/92,0.284697509,,
9/1/92,0.283889283,,
10/1/92,0.353857042,,
11/1/92,0.141043724,,
12/1/92,-0.070422535,,
1/1/93,0.493305144,,
2/1/93,0.350631136,,
3/1/93,0.34940601,,
4/1/93,0.278551532,,
5/1/93,0.138888889,,
6/1/93,0.138696255,,
7/1/93,0,,
8/1/93,0.27700831,,
9/1/93,0.20718232,,
10/1/93,0.413507926,,
11/1/93,0.06863418,,
12/1/93,0,,
1/1/94,0.274348422,,
2/1/94,0.341997264,,
3/1/94,0.340831629,,
4/1/94,0.135869565,,
5/1/94,0.067842605,,
6/1/94,0.338983051,,
7/1/94,0.27027027,,
8/1/94,0.404312668,,
9/1/94,0.268456376,,
10/1/94,0.066934404,,
11/1/94,0.133779264,,
12/1/94,0,,
1/1/95,0.400801603,,
2/1/95,0.399201597,,
3/1/95,0.331345262,,
4/1/95,0.330250991,,
5/1/95,0.197498354,,
6/1/95,0.197109067,,
7/1/95,0,,
8/1/95,0.262295082,,
9/1/95,0.196206671,,
10/1/95,0.326370757,,
11/1/95,-0.065061809,,
12/1/95,-0.065104167,,
1/1/96,0.586319218,,
2/1/96,0.323834197,,
